Local time,Ask,Bid,AskVolume,BidVolume
11.04.2022 02:33:15.996 GMT+0530,1.09146,1.0911,0.23,0.23
11.04.2022 02:33:16.480 GMT+0530,1.09143,1.09083,0.23,0.23
11.04.2022 02:33:16.531 GMT+0530,1.09146,1.0911,0.23,0.23
11.04.2022 02:33:32.830 GMT+0530,1.09196,1.0916,0.23,0.23
11.04.2022 02:33:33.594 GMT+0530,1.09196,1.0916,0.23,0.23
11.04.2022 02:34:02.390 GMT+0530,1.09181,1.09013,1.13,0.23
11.04.2022 02:34:38.966 GMT+0530,1.09151,1.09093,0.9,0.23
11.04.2022 02:34:43.576 GMT+0530,1.0915,1.09078,0.9,0.44
11.04.2022 02:34:43.627 GMT+0530,1.09151,1.09066,0.9,0.23
11.04.2022 02:34:43.765 GMT+0530,1.0912,1.09081,0.23,1.13
11.04.2022 02:34:43.816 GMT+0530,1.09078,1.09045,0.23,0.23
11.04.2022 02:34:45.585 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:46.695 GMT+0530,1.09113,1.09039,0.9,0.9
11.04.2022 02:34:46.746 GMT+0530,1.09151,1.09013,0.9,0.23
11.04.2022 02:34:47.009 GMT+0530,1.0915,1.09023,1.8,0.44
11.04.2022 02:34:47.059 GMT+0530,1.09151,1.09013,0.9,0.23
11.04.2022 02:34:47.150 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.200 GMT+0530,1.0915,1.09014,0.9,0.23
11.04.2022 02:34:47.450 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.500 GMT+0530,1.0915,1.09017,0.9,0.44
11.04.2022 02:34:47.600 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.650 GMT+0530,1.09151,1.09018,0.9,0.44
11.04.2022 02:34:47.750 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.801 GMT+0530,1.09151,1.09022,0.9,0.44
11.04.2022 02:34:47.905 GMT+0530,1.09111,1.09041,0.23,0.23
11.04.2022 02:34:47.956 GMT+0530,1.09151,1.09023,0.9,0.44
11.04.2022 02:34:48.054 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:48.105 GMT+0530,1.09151,1.09027,0.9,0.44
11.04.2022 02:34:48.204 GMT+0530,1.09111,1.09041,0.23,0.23
11.04.2022 02:34:49.365 GMT+0530,1.09113,1.09039,0.9,0.9
11.04.2022 02:34:49.415 GMT+0530,1.09151,1.09033,0.9,0.44
11.04.2022 02:34:53.085 GMT+0530,1.09151,1.09033,0.9,0.44
11.04.2022 02:34:55.922 GMT+0530,1.09138,1.0903,1.13,0.23
11.04.2022 02:34:55.973 GMT+0530,1.09151,1.09033,0.9,0.44
11.04.2022 02:34:58.612 GMT+0530,1.09151,1.0905,0.9,0.44
11.04.2022 02:35:01.599 GMT+0530,1.09151,1.0904,0.9,0.23
11.04.2022 02:35:03.513 GMT+0530,1.09151,1.09072,0.9,0.9
11.04.2022 02:35:04.997 GMT+0530,1.09151,1.09074,0.9,0.44
11.04.2022 02:35:05.516 GMT+0530,1.09151,1.09066,0.9,0.44
11.04.2022 02:35:06.315 GMT+0530,1.09151,1.0904,0.9,0.23
11.04.2022 02:35:07.600 GMT+0530,1.09151,1.09069,0.9,0.44
11.04.2022 02:35:07.752 GMT+0530,1.09151,1.09074,0.9,0.44
11.04.2022 02:35:07.803 GMT+0530,1.09151,1.09068,0.9,0.44
11.04.2022 02:35:07.854 GMT+0530,1.09151,1.0904,0.9,0.23
11.04.2022 02:35:07.904 GMT+0530,1.09151,1.09074,0.9,0.44
11.04.2022 02:35:11.040 GMT+0530,1.09151,1.09066,0.9,0.44
11.04.2022 02:35:11.091 GMT+0530,1.09151,1.09062,0.9,0.44
11.04.2022 02:35:12.019 GMT+0530,1.09151,1.09078,0.9,0.44
11.04.2022 02:35:13.913 GMT+0530,1.0915,1.09069,0.9,0.44
11.04.2022 02:35:15.135 GMT+0530,1.09151,1.09063,0.9,0.44
11.04.2022 02:35:20.289 GMT+0530,1.09141,1.09063,0.23,0.44
11.04.2022 02:35:20.620 GMT+0530,1.09136,1.09063,0.23,0.44
11.04.2022 02:35:21.061 GMT+0530,1.09149,1.09071,0.23,0.23
11.04.2022 02:35:21.340 GMT+0530,1.09143,1.09065,0.23,0.23
11.04.2022 02:35:21.501 GMT+0530,1.09151,1.09066,0.9,0.23
11.04.2022 02:35:21.639 GMT+0530,1.09143,1.09065,0.23,0.23
11.04.2022 02:35:22.051 GMT+0530,1.0914,1.09063,0.23,0.44
11.04.2022 02:35:22.210 GMT+0530,1.09136,1.09063,0.23,0.44
11.04.2022 02:35:22.261 GMT+0530,1.09151,1.09063,0.9,0.44
11.04.2022 02:35:22.414 GMT+0530,1.09136,1.09063,0.23,0.44
11.04.2022 02:35:25.104 GMT+0530,1.09136,1.09058,0.23,0.44
11.04.2022 02:35:25.609 GMT+0530,1.09134,1.09058,0.23,0.44
11.04.2022 02:35:27.228 GMT+0530,1.09133,1.09053,0.23,0.23
11.04.2022 02:35:27.279 GMT+0530,1.09131,1.09048,0.23,0.44
11.04.2022 02:35:27.330 GMT+0530,1.09134,1.09055,0.23,0.44
11.04.2022 02:35:27.610 GMT+0530,1.09134,1.09058,0.23,1.8
11.04.2022 02:35:27.945 GMT+0530,1.09126,1.09058,0.23,1.8
11.04.2022 02:35:32.249 GMT+0530,1.09118,1.09055,0.44,0.44
11.04.2022 02:35:32.350 GMT+0530,1.09126,1.09057,0.23,0.44
11.04.2022 02:35:35.135 GMT+0530,1.09125,1.09055,0.23,0.44
11.04.2022 02:35:36.061 GMT+0530,1.09128,1.09054,0.23,0.44
11.04.2022 02:35:37.384 GMT+0530,1.09121,1.09055,0.23,0.23
11.04.2022 02:35:38.835 GMT+0530,1.09119,1.09053,0.23,0.23
11.04.2022 02:35:45.106 GMT+0530,1.09113,1.09053,0.44,0.23
